,no,co,cl,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,sa,mw,pr,on,ra,h,si,nx,rp,f,hf,vu,fa,sp
65,1.27,1,27,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
66,1.273,1,273,0,0,0,0,0,0,0,0,2,0,4,G,"['15.762', ' IDS.735']",[''],"[['15.761', 'SCM.260']]",,5.55,8.68,94.75,0,0,0,1,6.0,0,1
67,1.274,1,274,0,0,0,0,0,0,0,0,2,0,4,G,"['15.763', ' IDS.736']",[''],"[['15.761', '15.778', 'SCM.260']]",,5.05,7.720000000000001,64.0,0,0,0,2,6.0,0,1
68,1.275,1,275,0,0,0,0,0,0,0,0,2,0,4,G,['IDS.305'],[''],[],,5.6,9.8,26.0,0,0,0,1,6.0,0,1
69,1.286,1,286,0,0,0,0,0,0,0,0,3,0,9,G,['11.477'],['11.165'],"[['11.203'], ['14.01']]",,6.3,8.6,26.5,1,0,0,0,12.0,1,0
70,1.303,1,303,0,0,0,0,0,0,0,0,0,2,4,G,['11.273'],"['1.103', ' 11.173']",[],,5.0,4.6,8.0,0,0,0,0,6.0,1,0
71,1.361,1,361,0,0,0,0,0,0,0,0,3,0,6,G,[''],['1.032'],[['1.036']],,6.8,24.4,2.5,0,0,0,1,9.0,1,0
72,1.364,1,364,0,0,0,0,0,0,0,0,3,0,6,G,[''],[''],[['1.361']],,6.7,28.4,5.0,0,0,0,2,9.0,1,0
73,1.38,1,38,0,0,0,0,0,0,0,0,3,1,8,G,[''],[''],[],,6.9,13.0,4.0,0,0,0,0,12.0,1,0
74,1.381,1,381,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],"[['1.361'], ['1.38']]",,6.7,9.95,5.5,1,0,0,0,12.0,0,1
75,1.39,1,39,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
76,1.462,1,462,0,0,0,0,0,0,0,0,2,0,4,G,['11.345'],[''],[],,5.8,6.0,30.3,0,0,0,1,6.0,1,0
77,1.472,1,472,0,0,0,0,0,0,0,0,2,0,4,G,['11.344'],[''],[],,6.43,5.75,32.25,0,0,0,1,6.0,0,1
78,1.541,1,541,0,0,0,0,0,0,0,0,3,0,9,G,[''],['1.054'],[['1.035']],,5.53,10.28,4.5,0,0,0,0,12.0,0,1
79,1.545,1,545,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,0.0,0.0,0.0,0,0,0,0,12.0,1,0
80,1.550,1,550,0,0,0,0,0,0,0,0,3,2,7,G,[''],['1.050'],[],,6.0,11.4,0.0,0,0,0,0,12.0,1,0
81,1.562,1,562,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,5.4,12.0,13.3,0,0,0,0,12.0,1,0
82,1.563,1,563,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,5.23,11.97,15.33,0,0,0,0,12.0,0,1
83,1.564,1,564,0,0,0,0,0,0,0,0,3,2,4,G,['4.464'],['4.401'],[],,6.4,12.7,38.0,0,0,1,0,9.0,1,0
84,1.573,1,573,0,0,0,0,0,0,0,0,4,0,8,G,['2.080'],[''],[['2.002']],,3.2,14.2,24.0,0,0,0,0,12.0,1,0
85,1.575,1,575,0,0,0,0,0,0,0,0,0,0,0,G,['4.450'],['4.451'],"[['1.000'], ['6.100A'], ['6.100B'], ['1.050'], ['2.001'], ['4.462']]",,6.6,12.0,23.3,0,0,1,0,0.0,1,0
86,1.579,1,579,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,0.0,0.0,0.0,1,0,0,0,12.0,1,0
87,1.581,1,581,0,0,0,0,0,0,0,0,3,1,8,G,"['2.060', ' 16.221']",['1.058'],[['18.03']],,5.6,11.6,21.3,0,0,0,0,12.0,1,0
88,1.582,1,582,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,5.3,11.9,12.0,0,0,0,0,12.0,0,1
89,1.583,1,583,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,0.0,0.0,0.0,1,0,0,0,12.0,1,0
90,1.589,1,589,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
