no,c1,c2,ch,bio,p1,p2,p-64,f-64,m2-64,m3-64,dac-64,moc-64,dec-64,coc-64,huc-64,cim-64,cim2-64,serc,aus,eecs
21G.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.S972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.S05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WGS.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.120A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.S07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.S22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.S20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCM.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11.S970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.S998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.S998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.910A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.6181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.C85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES.9112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.S688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.100A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ES.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.100B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS.190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21H.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.S952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.S593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21W.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.S05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21A.120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.S940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCM.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STS.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCM.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.C51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.02A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21G.S84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21A.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STS.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
